tweet_id,tweet_text,label,tvt,cv_fold,tt,tvt2,tvt2_1,tvt2_2,tvt2_3
656955120626880512,correct predictions in back to the future ii URL,false,training,1,training,validation,training,training,validation
615689290706595840,.@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL,true,training,3,training,training,validation,training,training
613404935003217920,cops bought the alleged church shooter burger king hours after killings URL,false,training,2,test,training,training,training,training
731166399389962242,🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL,unverified,training,3,test,training,training,training,training
714598641827246081,an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom,unverified,training,1,test,training,validation,training,training
614467824313106432,god put a rainbow over the white house 🌈 URL,true,training,2,training,training,training,training,testting
715515982584881152,craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL,unverified,training,0,test,validation,training,validation,training
693315824132685824,#quasimodo: dog with short spine has big heart URL URL,non-rumor,validation,2,training,validation,training,validation,training
693843042546106369,need to #getcovered? most people can find a health insurance plan for as little as $75/mo: URL URL,non-rumor,test,3,test,training,training,training,training
622891631293935616,#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL,false,test,2,training,training,validation,training,training
692630756548591616,japan's economy minister akira amari resigns over corruption allegations URL,non-rumor,training,2,test,validation,training,training,training
693265096278163456,german shepherd with a rare spinal condition looking for a forever home. URL URL,non-rumor,training,1,training,training,training,training,training
553589051044151296,several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL,true,test,1,test,training,training,testting,testting
553590835850514433,"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL",true,test,1,test,training,training,training,validation
622858454949040128,in heaven chick-fil-a is open on sundays.,false,training,3,training,training,testting,validation,testting
656870311057575936,the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL,false,training,2,test,training,training,validation,training
616311563071434753,apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL,true,training,2,training,training,testting,training,training
641666167992647681,"oh, you invented the pencil? #appleevent URL",non-rumor,validation,2,training,training,training,validation,validation
525060425184858112,"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL",true,training,3,training,training,training,training,training
672513234419638273,thoughts and prayers are not enough. pres. obama speaks on mass shootings over the years: URL URL,false,training,3,training,testting,training,training,training
544382892378714113,five hostages escape sydney cafe siege — live updates from @buzzfeedoz URL URL,true,test,2,training,training,training,training,validation
681824512120324096,"when she heard about south korean ""comfort women,"" @yunghi photographed some survivors URL URL",non-rumor,validation,1,training,training,training,training,training
620835698514464768,translucent butterfly - beautiful! URL,false,training,1,training,training,training,validation,training
626898253900943360,everyone mad at bruce for his sex change but no one gave ashit about that nerd minkus changing into chanel west coast URL,false,training,3,test,validation,validation,testting,validation
618804516578680832,family: @schwarzenegger's last act as governor stole justice from dead son. URL URL,false,training,1,training,training,training,training,validation
672632899921833984,why have there been more mass shootings under obama than the 4 previous presidents combined? URL URL,false,training,2,test,training,training,testting,training
553588178687655936,reports: #charliehebdo suspects killed URL,true,training,1,test,training,validation,training,training
594687353937100801,"the kissing islands, greenland. URL",false,test,2,training,validation,testting,training,testting
613016993692798977,police chief says dylann roof was taken to burger king shortly after arrest URL,false,training,1,training,training,testting,training,training
663385747177775105,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",false,test,1,training,training,validation,validation,training
766715993385267201,russian olympic officials concerned after learning team’s clean urine reservoir almost empty URL URL,non-rumor,validation,1,training,testting,validation,training,training
693141729529184256,it's 2016. women should earn the same pay as men for doing the same work. URL #equalpay URL,non-rumor,training,2,test,validation,training,training,training
524966904885428226,breaking update: canadian soldier injured at parliament hill shooting dies URL #ottawa,true,training,1,test,validation,training,testting,training
613393657161510913,cops bought burger king for dylann roof following his arrest URL URL,false,training,2,training,training,training,training,training
